year,1-gram,count-sum,count-mean
2024,if,838,1.8622222222222222
2021,more,838,2.7656765676567656
2023,did,836,1.479646017699115
2024,many,836,1.9441860465116279
2023,death,835,1.4831261101243338
2021,will,827,2.9748201438848922
2022,after,826,2.3267605633802817
2023,fighters,825,1.6700404858299596
2023,then,825,1.5082266910420474
2024,up,824,1.7758620689655173
2024,palestine,822,2.3620689655172415
2022,killing,821,3.818604651162791
2024,000,820,1.7943107221006565
2024,states,820,1.5442561205273069
2023,without,819,1.436842105263158
2022,had,814,2.6006389776357826
2023,medical,814,2.1823056300268098
2023,friday,813,1.740899357601713
2024,according,810,1.7570498915401302
2024,could,807,1.8723897911832947
2022,will,806,2.868327402135231
2023,homes,805,1.7200854700854702
2023,raids,804,1.6408163265306122
2021,jazeera,801,2.9776951672862455
2024,world,800,1.8223234624145785
2023,fighting,795,1.6028225806451613
2023,may,795,1.5680473372781065
2024,south,793,2.8321428571428573
2023,raid,793,2.0597402597402596
2022,i,790,4.968553459119497
2022,year,787,2.4517133956386292
2023,border,786,1.9124087591240877
2024,any,779,1.762443438914027
2024,where,778,1.6518046709129512
2023,well,777,1.3350515463917525
2023,hospitals,777,2.152354570637119
2021,had,777,2.8254545454545457
2023,long,774,1.4124087591240877
2023,across,774,1.3971119133574008
2023,situation,773,1.4157509157509158
2023,very,772,1.5166994106090372
2023,bombing,771,1.6688311688311688
2023,here,767,1.3292894280762566
2023,2023,767,1.4309701492537314
2023,agency,766,1.4535104364326377
2023,near,765,1.4543726235741445
2023,members,763,1.633832976445396
2021,west,762,3.175
2023,among,760,1.342756183745583
2023,peace,760,1.9143576826196473
2024,day,760,1.6344086021505377
2023,used,759,1.5945378151260505
2023,iran,757,3.040160642570281
2024,court,757,3.141078838174274
2022,also,757,2.2597014925373133
2021,or,756,2.8104089219330857
2023,around,755,1.4218455743879472
2023,number,755,1.3981481481481481
2023,countries,755,1.8781094527363185
2023,reported,754,1.469785575048733
2024,strip,750,1.7730496453900708
2021,including,749,2.423948220064725
2024,only,744,1.7505882352941176
2023,four,743,1.4540117416829745
2023,held,743,1.5194274028629857
2024,forces,742,1.9892761394101877
2023,should,742,1.5621052631578947
2023,fuel,740,2.044198895027624
2023,way,740,1.4313346228239845
2021,bank,737,3.1767241379310347
2022,shireen,735,5.034246575342466
2023,made,734,1.3694029850746268
2023,area,733,1.658371040723982
2024,being,732,1.7897310513447433
2023,wednesday,731,1.715962441314554
2023,month,729,1.3754716981132076
2023,both,727,1.448207171314741
2021,2021,727,5.724409448818897
2023,tuesday,727,1.7105882352941177
2023,monday,725,1.8125
2024,last,725,1.6146993318485523
2022,people,724,2.5226480836236935
2021,told,722,2.809338521400778
2023,past,719,1.3364312267657992
2024,time,718,1.7259615384615385
2021,children,714,2.8674698795180724
2023,middle,713,1.556768558951965
2023,million,712,1.4015748031496063
2023,percent,710,1.8983957219251337
2023,left,706,1.4496919917864477
2023,captives,700,2.5641025641025643
2021,two,698,2.3266666666666667
2024,do,695,1.8632707774798927
2023,police,693,2.6964980544747084
2023,me,691,2.207667731629393
2021,against,689,2.66023166023166
2023,besieged,688,1.1447587354409319
2021,there,687,2.6627906976744184
2023,every,686,1.4721030042918455
2023,hezbollah,686,4.234567901234568
2024,president,686,1.9488636363636365
